wijken;jaar;gasverbruik_tempgecorr;elektriciteitsverbruik
Haarlemmerbuurt;2009;5,8;11,0
Haarlemmerbuurt;2010;5,4;10,9
Haarlemmerbuurt;2011;5,5;11,0
Haarlemmerbuurt;2012;5,6;11,3
Haarlemmerbuurt;2013;5,9;11,9
Haarlemmerbuurt;2014;5,9;11,7
Haarlemmerbuurt;2015;5,6;11,6
Haarlemmerbuurt;2016;5,3;11,7
Haarlemmerbuurt;2017;5,3;11,5
Haarlemmerbuurt;2018;5,3;11,4
Haarlemmerbuurt;2019;4,9;11,2
Jordaan;2008;14,2;25,4
Jordaan;2009;13,8;26,1
Jordaan;2010;12,9;25,9
Jordaan;2011;13,0;26,1
Jordaan;2012;13,3;26,8
Jordaan;2013;13,8;27,7
Jordaan;2014;13,6;27,1
Jordaan;2015;13,1;26,9
Jordaan;2016;12,5;23,4
Jordaan;2017;12,3;23,2
Jordaan;2018;12,3;22,8
Jordaan;2019;12,4;22,4
De Weteringschans;2008;4,9;8,8
De Weteringschans;2009;4,8;9,1
De Weteringschans;2010;4,5;9,0
De Weteringschans;2011;4,5;9,1
De Weteringschans;2012;4,6;9,3
De Weteringschans;2013;4,8;9,7
De Weteringschans;2014;4,8;9,5
De Weteringschans;2015;4,6;9,5
De Weteringschans;2016;5,1;9,8
De Weteringschans;2017;5,0;9,7
De Weteringschans;2018;5,0;9,6
De Weteringschans;2019;5,1;9,6
Weesperbuurt/Plantage;2008;4,8;8,6
Weesperbuurt/Plantage;2009;4,7;8,8
Weesperbuurt/Plantage;2010;4,4;8,8
Weesperbuurt/Plantage;2011;4,4;8,8
Weesperbuurt/Plantage;2012;4,5;9,1
Weesperbuurt/Plantage;2013;4,7;9,4
Weesperbuurt/Plantage;2014;4,6;9,1
Weesperbuurt/Plantage;2015;4,4;9,1
Weesperbuurt/Plantage;2016;4,4;9,0
Weesperbuurt/Plantage;2017;4,1;8,3
Weesperbuurt/Plantage;2018;4,2;8,2
Weesperbuurt/Plantage;2019;4,4;8,3
Oostelijke Eilanden/Kadijken;2008;8,0;14,4
Oostelijke Eilanden/Kadijken;2009;7,8;14,8
Oostelijke Eilanden/Kadijken;2010;7,3;14,7
Oostelijke Eilanden/Kadijken;2011;7,4;14,8
Oostelijke Eilanden/Kadijken;2012;7,5;15,2
Oostelijke Eilanden/Kadijken;2013;7,8;15,7
Oostelijke Eilanden/Kadijken;2014;7,7;15,3
Oostelijke Eilanden/Kadijken;2015;7,4;15,1
Oostelijke Eilanden/Kadijken;2016;6,2;14,5
Oostelijke Eilanden/Kadijken;2017;6,0;13,9
Oostelijke Eilanden/Kadijken;2018;6,0;13,3
Oostelijke Eilanden/Kadijken;2019;6,1;12,9
Westelijk Havengebied;2008;0,1;0,2
Westelijk Havengebied;2009;0,1;0,3
Westelijk Havengebied;2010;0,1;0,2
Westelijk Havengebied;2011;0,1;0,2
Westelijk Havengebied;2012;0,1;0,2
Westelijk Havengebied;2013;0,1;0,1
Westelijk Havengebied;2014;0,1;0,1
Westelijk Havengebied;2015;0,0;0,0
Westelijk Havengebied;2016;NA;0,2
Westelijk Havengebied;2017;NA;0,1
Westelijk Havengebied;2018;0,0;0,1
Westelijk Havengebied;2019;0,0;0,1
Bedrijventerrein Sloterdijk;2008;0,0;0,1
