wijken;jaar;gasverbruik_tempgecorr;elektriciteitsverbruik
Middenmeer;2019;8,4;18,4
Betondorp;2008;2,1;4,0
Betondorp;2009;2,1;4,0
Betondorp;2010;1,9;3,9
Betondorp;2011;1,4;4,2
Betondorp;2012;1,3;4,4
Betondorp;2013;1,4;4,4
Betondorp;2014;2,0;4,1
Betondorp;2015;1,3;4,2
Betondorp;2016;1,8;3,3
Betondorp;2017;1,9;3,3
Betondorp;2018;1,9;3,3
Betondorp;2019;1,9;3,2
Omval/Overamstel;2008;1,6;3,0
Omval/Overamstel;2009;1,5;3,0
Omval/Overamstel;2010;1,4;2,9
Omval/Overamstel;2011;1,1;3,2
Omval/Overamstel;2012;1,0;3,3
Omval/Overamstel;2013;1,1;3,3
Omval/Overamstel;2014;1,8;3,6
Omval/Overamstel;2015;1,1;3,7
Omval/Overamstel;2016;0,1;5,4
Omval/Overamstel;2017;0,1;5,3
Omval/Overamstel;2018;0,1;5,5
Omval/Overamstel;2019;0,2;5,9
Volewijck;2008;5,8;11,4
Volewijck;2009;5,8;11,3
Volewijck;2010;5,6;11,6
Volewijck;2011;5,4;11,3
Volewijck;2012;5,4;11,7
Volewijck;2013;5,2;11,6
Volewijck;2014;5,1;10,2
Volewijck;2015;4,6;11,1
Volewijck;2016;5,2;9,8
Volewijck;2017;5,5;9,4
Volewijck;2018;5,0;9,0
Volewijck;2019;5,0;8,9
IJplein/Vogelbuurt;2008;4,9;9,5
IJplein/Vogelbuurt;2009;4,9;9,5
IJplein/Vogelbuurt;2010;4,7;9,7
IJplein/Vogelbuurt;2011;4,6;9,5
IJplein/Vogelbuurt;2012;4,5;9,8
IJplein/Vogelbuurt;2013;4,3;9,7
IJplein/Vogelbuurt;2014;4,3;8,6
IJplein/Vogelbuurt;2015;3,9;9,4
IJplein/Vogelbuurt;2016;4,0;7,6
IJplein/Vogelbuurt;2017;4,0;7,4
IJplein/Vogelbuurt;2018;4,0;7,3
IJplein/Vogelbuurt;2019;4,0;7,1
Tuindorp Nieuwendam;2008;2,2;4,3
Tuindorp Nieuwendam;2009;2,2;4,3
Tuindorp Nieuwendam;2010;2,1;4,4
Tuindorp Nieuwendam;2011;2,1;4,3
Tuindorp Nieuwendam;2012;2,0;4,5
Tuindorp Nieuwendam;2013;2,0;4,4
Tuindorp Nieuwendam;2014;1,9;3,9
Tuindorp Nieuwendam;2015;1,8;4,2
Tuindorp Nieuwendam;2016;2,1;3,7
Tuindorp Nieuwendam;2017;2,1;3,6
Tuindorp Nieuwendam;2018;2,1;3,5
Tuindorp Nieuwendam;2019;2,0;3,4
Tuindorp Buiksloot;2008;1,1;2,1
Tuindorp Buiksloot;2009;1,1;2,1
Tuindorp Buiksloot;2010;1,0;2,2
Tuindorp Buiksloot;2011;1,0;2,1
Tuindorp Buiksloot;2012;1,0;2,2
Tuindorp Buiksloot;2013;1,0;2,2
Tuindorp Buiksloot;2014;1,0;1,9
Tuindorp Buiksloot;2015;0,9;2,1
Tuindorp Buiksloot;2016;1,0;2,2
Tuindorp Buiksloot;2017;1,0;2,1
Tuindorp Buiksloot;2018;1,0;2,1
Tuindorp Buiksloot;2019;1,0;2,0
Nieuwendammerdijk/Buiksloterdijk;2008;0,8;1,5
Nieuwendammerdijk/Buiksloterdijk;2009;0,8;1,5
Nieuwendammerdijk/Buiksloterdijk;2010;0,7;1,5
Nieuwendammerdijk/Buiksloterdijk;2011;0,7;1,5
Nieuwendammerdijk/Buiksloterdijk;2012;0,7;1,6
Nieuwendammerdijk/Buiksloterdijk;2013;0,7;1,5
Nieuwendammerdijk/Buiksloterdijk;2014;0,7;1,3
Nieuwendammerdijk/Buiksloterdijk;2015;0,6;1,4
Nieuwendammerdijk/Buiksloterdijk;2016;1,1;2,0
Nieuwendammerdijk/Buiksloterdijk;2017;1,1;2,0
Nieuwendammerdijk/Buiksloterdijk;2018;1,1;2,0
Nieuwendammerdijk/Buiksloterdijk;2019;1,1;2,0
Tuindorp Oostzaan;2008;5,9;11,4
Tuindorp Oostzaan;2009;5,9;11,4
Tuindorp Oostzaan;2010;5,6;11,6
Tuindorp Oostzaan;2011;5,5;11,4
Tuindorp Oostzaan;2012;5,4;11,8
Tuindorp Oostzaan;2013;5,3;11,8
Tuindorp Oostzaan;2014;5,2;10,5
Tuindorp Oostzaan;2015;4,8;11,5
Tuindorp Oostzaan;2016;4,9;11,5
Tuindorp Oostzaan;2017;4,9;11,5
Tuindorp Oostzaan;2018;4,9;11,4
Tuindorp Oostzaan;2019;4,7;11,3
Oostzanerwerf;2008;4,4;8,6
Oostzanerwerf;2009;4,4;8,6
Oostzanerwerf;2010;4,2;8,8
Oostzanerwerf;2011;4,1;8,6
Oostzanerwerf;2012;4,1;8,9
Oostzanerwerf;2013;3,9;8,8
Oostzanerwerf;2014;3,9;7,7
Oostzanerwerf;2015;3,5;8,5
Oostzanerwerf;2016;4,1;9,1
Oostzanerwerf;2017;4,1;8,8
Oostzanerwerf;2018;4,1;8,8
Oostzanerwerf;2019;4,2;8,8
Kadoelen;2008;1,4;2,7
Kadoelen;2009;1,4;2,7
Kadoelen;2010;1,3;2,7
Kadoelen;2011;1,3;2,7
Kadoelen;2012;1,3;2,8
Kadoelen;2013;1,2;2,8
Kadoelen;2014;1,2;2,4
Kadoelen;2015;1,1;2,7
Kadoelen;2016;1,7;3,5
Kadoelen;2017;1,6;3,5
Kadoelen;2018;1,6;3,3
Kadoelen;2019;1,7;3,6
Waterlandpleinbuurt;2008;6,2;12,2
Waterlandpleinbuurt;2009;6,2;12,1
Waterlandpleinbuurt;2010;6,0;12,4
Waterlandpleinbuurt;2011;5,8;12,1
Waterlandpleinbuurt;2012;5,7;12,6
Waterlandpleinbuurt;2013;5,7;12,7
Waterlandpleinbuurt;2014;5,9;11,8
Waterlandpleinbuurt;2015;5,1;12,3
Waterlandpleinbuurt;2016;5,0;12,4
Waterlandpleinbuurt;2017;5,0;12,4
Waterlandpleinbuurt;2018;5,1;12,4
Waterlandpleinbuurt;2019;4,7;11,9
Buikslotermeer;2008;6,7;13,1
Buikslotermeer;2009;6,7;13,1
Buikslotermeer;2010;6,4;13,3
Buikslotermeer;2011;6,3;13,0
Buikslotermeer;2012;6,2;13,5
Buikslotermeer;2013;6,0;13,4
Buikslotermeer;2014;5,9;11,8
Buikslotermeer;2015;5,3;12,9
Buikslotermeer;2016;4,1;10,8
Buikslotermeer;2017;4,0;10,1
Buikslotermeer;2018;3,9;10,1
Buikslotermeer;2019;3,8;9,8
Banne Buiksloot;2008;7,1;13,8
Banne Buiksloot;2009;7,1;13,8
Banne Buiksloot;2010;6,8;14,1
Banne Buiksloot;2011;6,6;13,7
Banne Buiksloot;2012;6,5;14,3
Banne Buiksloot;2013;6,0;13,5
Banne Buiksloot;2014;6,1;12,1
Banne Buiksloot;2015;5,6;13,5
Banne Buiksloot;2016;5,0;13,4
Banne Buiksloot;2017;4,8;12,9
Banne Buiksloot;2018;5,0;12,6
Banne Buiksloot;2019;5,0;12,5
Noordelijke IJ-oevers West;2008;0,8;1,6
Noordelijke IJ-oevers West;2009;0,8;1,6
Noordelijke IJ-oevers West;2010;0,8;1,6
Noordelijke IJ-oevers West;2011;0,8;1,6
Noordelijke IJ-oevers West;2012;0,7;1,6
Noordelijke IJ-oevers West;2013;0,8;1,9
Noordelijke IJ-oevers West;2014;0,8;1,6
Noordelijke IJ-oevers West;2015;0,8;2,0
Noordelijke IJ-oevers West;2016;0,2;2,3
Noordelijke IJ-oevers West;2017;0,3;2,9
Noordelijke IJ-oevers West;2018;0,0;3,3
Noordelijke IJ-oevers West;2019;0,0;4,0
Noordelijke IJ-oevers Oost;2008;0,1;0,2
Noordelijke IJ-oevers Oost;2009;0,1;0,2
Noordelijke IJ-oevers Oost;2010;0,1;0,2
Noordelijke IJ-oevers Oost;2011;0,1;0,2
Noordelijke IJ-oevers Oost;2012;0,1;0,2
Noordelijke IJ-oevers Oost;2013;0,1;0,2
Noordelijke IJ-oevers Oost;2014;0,1;0,1
Noordelijke IJ-oevers Oost;2015;0,1;0,2
Noordelijke IJ-oevers Oost;2016;0,1;0,2
Noordelijke IJ-oevers Oost;2017;0,1;0,2
Noordelijke IJ-oevers Oost;2018;0,2;0,4
Noordelijke IJ-oevers Oost;2019;0,2;0,4
Waterland;2008;6,3;14,2
Waterland;2009;6,1;14,2
Waterland;2010;5,9;14,4
Waterland;2011;5,8;14,2
Waterland;2012;5,5;14,0
Waterland;2013;5,5;13,7
Waterland;2014;5,3;13,0
Waterland;2015;5,1;13,0
Waterland;2016;5,8;13,9
Waterland;2017;5,8;13,7
Waterland;2018;5,8;13,5
Waterland;2019;5,7;13,1
Elzenhagen;2008;0,7;1,4
Elzenhagen;2009;0,7;1,4
Elzenhagen;2010;0,7;1,4
Elzenhagen;2011;0,6;1,3
Elzenhagen;2012;0,6;1,4
Elzenhagen;2013;0,6;1,4
Elzenhagen;2014;0,7;1,3
Elzenhagen;2015;0,8;1,9
Elzenhagen;2016;0,7;2,5
Elzenhagen;2017;0,7;2,4
Elzenhagen;2018;0,8;2,4
Elzenhagen;2019;0,6;2,6
Slotermeer-Noordoost;2008;5,1;9,2
Slotermeer-Noordoost;2009;4,8;9,2
Slotermeer-Noordoost;2010;4,7;9,4
Slotermeer-Noordoost;2011;4,3;10,4
Slotermeer-Noordoost;2012;4,0;10,6
Slotermeer-Noordoost;2013;4,1;10,0
Slotermeer-Noordoost;2014;4,4;8,9
Slotermeer-Noordoost;2015;3,5;9,9
Slotermeer-Noordoost;2016;4,3;8,0
Slotermeer-Noordoost;2017;4,4;7,7
Slotermeer-Noordoost;2018;4,3;7,4
Slotermeer-Noordoost;2019;4,3;7,3
Slotermeer-Zuidwest;2008;9,1;16,4
Slotermeer-Zuidwest;2009;8,7;16,4
Slotermeer-Zuidwest;2010;8,3;16,8
Slotermeer-Zuidwest;2011;7,6;18,6
Slotermeer-Zuidwest;2012;7,1;19,0
Slotermeer-Zuidwest;2013;7,3;17,9
Slotermeer-Zuidwest;2014;7,9;15,8
Slotermeer-Zuidwest;2015;6,2;17,8
Slotermeer-Zuidwest;2016;6,5;14,5
Slotermeer-Zuidwest;2017;6,7;14,5
Slotermeer-Zuidwest;2018;6,9;14,5
Slotermeer-Zuidwest;2019;6,8;14,4
Geuzenveld;2008;7,2;12,8
Geuzenveld;2009;6,8;12,9
Geuzenveld;2010;6,5;13,2
Geuzenveld;2011;6,0;14,5
Geuzenveld;2012;5,6;14,9
Geuzenveld;2013;5,7;14,0
Geuzenveld;2014;6,1;12,3
Geuzenveld;2015;5,0;14,1
Geuzenveld;2016;4,7;13,3
Geuzenveld;2017;4,6;14,1
Geuzenveld;2018;5,0;13,0
Geuzenveld;2019;4,9;13,0
Eendracht;2008;1,1;2,0
Eendracht;2009;1,1;2,1
Eendracht;2010;1,0;2,1
Eendracht;2011;1,0;2,3
Eendracht;2012;0,9;2,4
Eendracht;2013;0,9;2,2
Eendracht;2014;1,0;2,0
Eendracht;2015;0,8;2,2
Eendracht;2016;1,0;2,6
Eendracht;2017;1,0;2,5
Eendracht;2018;1,0;2,4
Eendracht;2019;1,0;2,4
Lutkemeer/Ookmeer;2008;0,3;0,7
Lutkemeer/Ookmeer;2009;0,3;0,7
Lutkemeer/Ookmeer;2010;0,3;0,8
Lutkemeer/Ookmeer;2011;0,3;0,7
Lutkemeer/Ookmeer;2012;0,3;0,8
Lutkemeer/Ookmeer;2013;0,3;0,7
Lutkemeer/Ookmeer;2014;0,3;0,7
Lutkemeer/Ookmeer;2015;0,3;0,7
Lutkemeer/Ookmeer;2016;0,6;1,2
Lutkemeer/Ookmeer;2017;0,6;1,2
Lutkemeer/Ookmeer;2018;0,7;1,3
Lutkemeer/Ookmeer;2019;0,7;1,2
Osdorp-Oost;2008;9,0;19,8
Osdorp-Oost;2009;8,7;20,1
Osdorp-Oost;2010;8,5;21,0
Osdorp-Oost;2011;8,3;20,3
Osdorp-Oost;2012;7,7;20,7
Osdorp-Oost;2013;8,0;19,4
Osdorp-Oost;2014;8,6;17,1
Osdorp-Oost;2015;6,8;19,5
Osdorp-Oost;2016;7,1;17,6
Osdorp-Oost;2017;6,9;16,8
Osdorp-Oost;2018;6,8;16,4
Osdorp-Oost;2019;6,8;16,0
Osdorp-Midden;2008;7,1;15,7
Osdorp-Midden;2009;6,9;16,0
Osdorp-Midden;2010;6,8;16,6
Osdorp-Midden;2011;6,6;16,1
Osdorp-Midden;2012;6,1;16,5
Osdorp-Midden;2013;6,3;15,2
Osdorp-Midden;2014;6,7;13,4
Osdorp-Midden;2015;5,4;15,5
Osdorp-Midden;2016;4,9;14,5
Osdorp-Midden;2017;4,9;14,4
Osdorp-Midden;2018;5,0;14,1
Osdorp-Midden;2019;4,9;13,8
De Punt;2008;2,5;5,6
De Punt;2009;2,4;5,7
De Punt;2010;2,4;5,9
De Punt;2011;2,3;5,7
De Punt;2012;2,2;5,8
De Punt;2013;2,3;5,7
De Punt;2014;2,6;5,3
De Punt;2015;2,0;5,8
De Punt;2016;1,7;6,3
De Punt;2017;1,7;6,3
De Punt;2018;1,7;6,3
De Punt;2019;1,7;6,4
Middelveldsche Akerpolder;2008;5,9;13,1
Middelveldsche Akerpolder;2009;5,7;13,3
Middelveldsche Akerpolder;2010;5,6;13,8
Middelveldsche Akerpolder;2011;5,5;13,4
Middelveldsche Akerpolder;2012;5,1;13,7
Middelveldsche Akerpolder;2013;5,3;12,8
Middelveldsche Akerpolder;2014;5,7;11,3
Middelveldsche Akerpolder;2015;4,4;12,6
Middelveldsche Akerpolder;2016;5,0;16,1
Middelveldsche Akerpolder;2017;5,0;15,7
Middelveldsche Akerpolder;2018;5,0;15,3
Middelveldsche Akerpolder;2019;5,0;15,0
Slotervaart Noord;2008;3,7;7,9
Slotervaart Noord;2009;3,7;8,0
Slotervaart Noord;2010;3,6;8,1
Slotervaart Noord;2011;3,4;8,3
Slotervaart Noord;2012;3,2;8,5
Slotervaart Noord;2013;3,3;8,0
Slotervaart Noord;2014;3,5;7,0
Slotervaart Noord;2015;2,8;7,9
Slotervaart Noord;2016;3,7;7,8
Slotervaart Noord;2017;3,6;7,7
Slotervaart Noord;2018;3,6;7,6
Slotervaart Noord;2019;3,0;7,7
Overtoomse Veld;2008;4,8;10,1
Overtoomse Veld;2009;4,7;10,3
Overtoomse Veld;2010;4,6;10,5
Overtoomse Veld;2011;4,4;10,7
Overtoomse Veld;2012;4,1;11,0
Overtoomse Veld;2013;4,1;10,0
Overtoomse Veld;2014;4,7;9,3
Overtoomse Veld;2015;3,7;10,6
Overtoomse Veld;2016;2,8;9,9
Overtoomse Veld;2017;2,7;9,6
Overtoomse Veld;2018;2,9;9,7
Overtoomse Veld;2019;2,7;10,3
Westlandgracht;2008;3,9;8,2
Westlandgracht;2009;3,8;8,4
Westlandgracht;2010;3,7;8,5
Westlandgracht;2011;3,6;8,7
Westlandgracht;2012;3,3;8,9
Westlandgracht;2013;3,6;8,7
Westlandgracht;2014;3,8;7,5
Westlandgracht;2015;3,1;9,0
Westlandgracht;2016;1,9;7,5
Westlandgracht;2017;2,3;10,3
Westlandgracht;2018;2,6;10,1
Westlandgracht;2019;1,8;10,8
Slotervaart Zuid;2008;4,6;9,8
Slotervaart Zuid;2009;4,6;10,0
Slotervaart Zuid;2010;4,4;10,1
Slotervaart Zuid;2011;4,3;10,4
Slotervaart Zuid;2012;4,0;10,6
Slotervaart Zuid;2013;4,4;10,8
Slotervaart Zuid;2014;4,8;9,5
Slotervaart Zuid;2015;3,9;11,1
Slotervaart Zuid;2016;4,4;10,6
Slotervaart Zuid;2017;4,1;8,8
Slotervaart Zuid;2018;4,5;9,3
Slotervaart Zuid;2019;3,9;9,3
Buitenveldert-West;2008;8,9;16,0
Buitenveldert-West;2009;9,0;16,4
Buitenveldert-West;2010;8,9;16,2
Buitenveldert-West;2011;8,6;16,1
Buitenveldert-West;2012;8,4;16,2
Buitenveldert-West;2013;8,5;16,3
Buitenveldert-West;2014;7,8;15,6
Buitenveldert-West;2015;7,8;16,0
Buitenveldert-West;2016;7,7;16,7
Buitenveldert-West;2017;7,9;16,8
Buitenveldert-West;2018;7,7;16,8
Buitenveldert-West;2019;7,8;16,5
Buitenveldert-Oost;2008;5,0;9,0
Buitenveldert-Oost;2009;5,0;9,2
Buitenveldert-Oost;2010;5,0;9,1
Buitenveldert-Oost;2011;4,8;9,0
Buitenveldert-Oost;2012;4,7;9,0
Buitenveldert-Oost;2013;4,8;9,1
Buitenveldert-Oost;2014;4,4;8,7
Buitenveldert-Oost;2015;4,5;9,2
Buitenveldert-Oost;2016;4,3;9,7
Buitenveldert-Oost;2017;4,1;9,5
Buitenveldert-Oost;2018;4,2;9,3
Buitenveldert-Oost;2019;4,1;9,2
Amstel III/Bullewijk;2008;0,0;0,0
Amstel III/Bullewijk;2009;0,0;0,0
Amstel III/Bullewijk;2010;0,0;0,0
Amstel III/Bullewijk;2011;0,0;0,0
Amstel III/Bullewijk;2012;0,0;0,0
Amstel III/Bullewijk;2013;0,0;0,0
Amstel III/Bullewijk;2014;0,0;0,0
Amstel III/Bullewijk;2015;0,0;0,0
Amstel III/Bullewijk;2016;NA;NA
Amstel III/Bullewijk;2017;NA;NA
Amstel III/Bullewijk;2018;NA;NA
Amstel III/Bullewijk;2019;NA;1,2
Nellestein;2008;1,8;4,0
Nellestein;2009;1,8;4,2
Nellestein;2010;1,6;4,2
Nellestein;2011;1,6;4,2
Nellestein;2012;1,6;4,4
Nellestein;2013;1,6;4,2
Nellestein;2014;1,8;3,5
Nellestein;2015;1,4;3,9
Nellestein;2016;2,0;3,4
Nellestein;2017;2,0;3,3
Nellestein;2018;2,0;3,2
Nellestein;2019;2,0;3,1
Holendrecht/Reigersbos;2008;8,9;20,0
Holendrecht/Reigersbos;2009;8,8;20,9
Holendrecht/Reigersbos;2010;8,2;21,0
Holendrecht/Reigersbos;2011;8,1;21,1
Holendrecht/Reigersbos;2012;7,9;21,7
Holendrecht/Reigersbos;2013;7,8;20,7
Holendrecht/Reigersbos;2014;8,8;17,5
Holendrecht/Reigersbos;2015;6,7;19,5
Holendrecht/Reigersbos;2016;9,8;18,6
Holendrecht/Reigersbos;2017;9,7;18,2
Holendrecht/Reigersbos;2018;9,5;18,0
Holendrecht/Reigersbos;2019;9,5;17,6
Gein;2008;5,5;12,3
Gein;2009;5,4;12,8
Gein;2010;5,0;12,9
Gein;2011;5,0;13,0
Gein;2012;4,9;13,3
Gein;2013;4,8;12,7
Gein;2014;5,4;10,8
Gein;2015;4,1;12,0
Gein;2016;5,4;12,6
Gein;2017;5,5;12,3
Gein;2018;5,4;12,0
Gein;2019;5,4;11,6
Driemond;2008;0,7;1,5
Driemond;2009;0,7;1,6
Driemond;2010;0,6;1,6
Driemond;2011;0,6;1,6
Driemond;2012;0,6;1,6
Driemond;2013;0,6;1,6
Driemond;2014;0,7;1,3
Driemond;2015;0,5;1,5
Driemond;2016;0,8;1,9
Driemond;2017;0,8;1,8
Driemond;2018;0,8;1,9
Driemond;2019;0,8;1,8
